url,type
br-icloud.com.br,malicious
mp3raid.com/music/krizz_kaliko.html,non - malicious
bopsecrets.org/rexroth/cr/1.htm,non - malicious
http://www.garage-pirenne.be/index.php?option=com_content&view=article&id=70&vsig70_0=15,malicious
http://adventure-nicaragua.net/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL2FkdmVudHVyZS1uaWNhcmFndWEubmV0L2luZGV4LnBocD9vcHRpb249Y29tX2NvbnRlbnQmdmlldz1hcnRpY2xlJmlkPTQ3OmFib3V0JmNhdGlkPTM2OmRlbW8tYXJ0aWNsZXMmSXRlbWlkPTU0,malicious
http://buzzfil.net/m/show-art/ils-etaient-loin-de-s-imaginer-que-le-hibou-allait-faire-ceci-quand-ils-filmaient-2.html,non - malicious
espn.go.com/nba/player/_/id/3457/brandon-rush,non - malicious
yourbittorrent.com/?q=anthony-hamilton-soulife,non - malicious
http://www.pashminaonline.com/pure-pashminas,malicious
allmusic.com/album/crazy-from-the-heat-r16990,non - malicious
corporationwiki.com/Ohio/Columbus/frank-s-benson-P3333917.aspx,non - malicious
http://www.ikenmijnkunst.nl/index.php/exposities/exposities-2006,malicious
myspace.com/video/vid/30602581,non - malicious
http://www.lebensmittel-ueberwachung.de/index.php/aktuelles.1,malicious
http://www.szabadmunkaero.hu/cimoldal.html?start=12,malicious
http://larcadelcarnevale.com/catalogo/palloncini,malicious
quickfacts.census.gov/qfd/maps/iowa_map.html,non - malicious
nugget.ca/ArticleDisplay.aspx?archive=true&e=1160966,non - malicious
uk.linkedin.com/pub/steve-rubenstein/8/718/755,non - malicious
http://www.vnic.co/khach-hang.html,malicious
baseball-reference.com/players/h/harrige01.shtml,non - malicious
signin.eby.de.zukruygxctzmmqi.civpro.co.za,malicious
192.com/atoz/people/oakley/patrick/,non - malicious
nytimes.com/1998/03/29/style/cuttings-oh-that-brazen-raucous-glorious-hibiscus.html,non - malicious
escholarship.org/uc/item/5xt4952c,non - malicious
songfacts.com/detail.php?id=13410,non - malicious
casamanana.org/education/blba/,non - malicious
http://hollywoodlife.com/2014/05/01/rihanna-iheartradio-music-awards-dress-2014-pics/,non - malicious
http://www.marketingbyinternet.com/mo/e56508df639f6ce7d55c81ee3fcd5ba8/,malicious
en.wikipedia.org/wiki/North_Dakota,non - malicious
soaps.sheknows.com/daysofourlives/news/id/20259/Days_Of_Our_Lives_Casts_Ruta_Lee/,non - malicious
perfectpeople.net/celebrity-star/6920/gidget-gein.htm,non - malicious
media.caltech.edu/press_releases/13186,non - malicious
wikiobits.com/Obits/TonyProudfoot,non - malicious
vanderbilt.rivals.com/viewcoach.asp?coach=2079&sport=1&year=2011,non - malicious
http://peluqueriadeautor.com/index.php?option=com_virtuemart&page=shop.browse&category_id=31&Itemid=70,malicious
movies.yahoo.com/shop?d=hv&cf=info&id=1800340831,non - malicious
cyndislist.com/us/pa/counties,non - malicious
http://www.824555.com/app/member/SportOption.php?uid=guest&langx=gb,malicious
http://www.raci.it/component/user/reset.html,malicious
https://docs.google.com/spreadsheet/viewform?formkey=dGg2Z1lCUHlSdjllTVNRUW50TFIzSkE6MQ,malicious
psychology.wikia.com/wiki/Phonemes,non - malicious
info.centriq.com/content/fivereasons,non - malicious
articles.baltimoresun.com/1991-06-11/sports/1991162162_1_james-koehler-texas-rangers-terrell-lowery,non - malicious
infinitysw.com/,non - malicious
strawberrycreekgardens.com/,non - malicious
http://earth-sure.com/industrial-tech/everlast-impact-resistant-dumpster-enclosure,malicious
spoke.com/dir/p/desantis/nick,non - malicious
wordsmith.org/words/pignus.html,non - malicious
http://interpark.com/displaycorner/FreeMarket.do?_method=itemCateList&free1=pc&free2=007001008003&free3=item&disp_no=007001008003,non - malicious
http://www.newtec.ac.uk/courses/health-and-social-care/level-2-diploma-in-health-a-social-care-.html,malicious
http://www.kingsmillshotel.com/spring/mothers-day,malicious
almanac.logos.com/Denominations,non - malicious
gaming.wikia.com/wiki/Backbreaker_(video_game),non - malicious
ceu.hu/,non - malicious
registry.weddingchannel.com/coupledir/20108/C/R314763282/JARED_CLOUGH_AND_TAJAI_RITCHIE.htm,non - malicious
linkedin.com/pub/george-cleveland/7/80a/599,non - malicious
sunshinemills.com/,non - malicious
agoda.com/north_america/canada/montreal_qc/attractions/hotels_near_mcgill_university_centre_for_continuing_education.html,non - malicious
ctv.ca/generic/WebSpecials/sponsorship_scandal/,non - malicious
http://www.approvi.com.br/ck.htm,malicious
http://www.shaborooz.ir/index.php?view=article&catid=7:1390-01-27-09-09-55&id=23:1390-04-12-08-07-33&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=2,malicious
veoox.com/tags/game.html,non - malicious
chuckwalkertrio.blogspot.com/,non - malicious
aerosolesshoes.org/,non - malicious
http://www.juventudelirica.com.br/index.html,malicious
http://www.myenrg.com/southwest/9-texas,malicious
recipelink.com/msgbrd/board_14/2007/DEC/29094.html,non - malicious
http://www.musimagen.com/lista_socios.php?letra=\303%91,malicious
ideas.repec.org/f/pma235.html,non - malicious
peopleaz.org/firstname/Fowlkes/6,non - malicious
orensamtraktrip.wordpress.com/,non - malicious
retajconsultancy.com,malicious
alexa.com/whatshot?q=james+arness,non - malicious
jpopasia.com/group/arashi/discography/,non - malicious
kitsapsun.com/photos/2011/feb/25/177999/,non - malicious
local.yahoo.com/info-42862457-oakland-international-airport-oakland,non - malicious
tripadvisor.com/Restaurant_Review-g680765-d1768647-Reviews-Yacha_Yacha-Miyakojima_Okinawa_Prefecture_Kyushu_Okinawa.html,non - malicious
articles.elitefts.com/articles/training-articles/five-great-exercises-for-building-a-dominant-defensive-lineman/,non - malicious
broadwaystars.com/classic/?source=www.playbill.com,non - malicious
http://www.pn-wuppertal.de/links/2-linkseite/5-httpwwwkrebshilfede,malicious
forums.networkinfrastructure.info/motorola-wireless-lan-switches/,non - malicious
youtube.com/watch?v=mwpoPQ1SPJU,non - malicious
mccall-idchamber.org/,non - malicious
chacha.com/question/who-said-the-quote-%27say-what-you-mean%2C-mean-what-you-say-and-put-a-beat-to-it%27,non - malicious
friars.com/sports/m-baskbl/archive/prov-m-baskbl-2003.html,non - malicious
http://asociacionkaribu.org/index.php/servicios/centro-jambo,malicious
http://www.martin-busker.de/administrator/help/en-GB/css/Facture/c4d12146ebce8e1684d3542308399779/8fa39dab95edb1b676b638a672278eae/particuliers-45636.php,malicious
pipl.com/directory/name/Whissell/180,non - malicious
spokeo.com/John+Collet,non - malicious
http://www.parafiapiaski.pl/index.php?option=com_user&view=remind,malicious
http://fanpage.gr/family/gineka/%ce%b1%cf%85%cf%84%ce%bf%ce%af-%ce%b5%ce%af%ce%bd%ce%b1%ce%b9-%ce%bf%ce%b9-13-%cf%89%cf%81%ce%b1%ce%b9%cf%8c%cf%84%ce%b5%cf%81%ce%bf%ce%b9-%ce%ad%ce%bb%ce%bb%ce%b7%ce%bd%ce%b5%cf%82-%ce%b1%ce%bd-2/,non - malicious
faqs.org/copyright/handbook-for-the-individual-or-group-culture-free/,non - malicious
duckduckgo.com/1/c/Roman_Catholic_cathedrals_in_Canada,non - malicious
alexpay2.beget.tech,malicious
http://worldoftanks.ru/ru/content/guide/payments_instruction/mobile-payments-rostelekom-ural-utel/,non - malicious
http://www.artedesignsas.it/catalogo.html?page=shop.browse&category_id=14,malicious
en.wikipedia.org/wiki/Lloyd_Bacon,non - malicious
http://serverfault.com/questions/682832/squid-transparent-https-certificate-error-ssl-error-bad-cert-domain,non - malicious
http://www.viamanaus.com.br/index.php?option=com_wrapper&view=wrapper&Itemid=297,malicious
ciajfk.com/harold.html,non - malicious
http://www.protect-effect.nl/diensten/62-telefonie,malicious
indyweek.com/artery/archives/2011/10/07/come-back-to-the-1980s-at-the-escapism-film-festival-which-begins-friday,non - malicious
linkedin.com/pub/charles-gariepy/2/642/28,non - malicious
http://www.gst-ukraine.com.ua/ukraine/tours/2754-arboretum-alexandria-sofiyivka,malicious
facebook.unitedcolleges.net,malicious
http://www.bimabn.com/1-configurazione-supporto-apple.store-contatta/c/Apple-id/3d465e25b47e6bc23ae55f5de40e1bb1/,malicious
eyeappealoptometry.com/,non - malicious
brophygen.com/,non - malicious
icehockey.wikia.com/wiki/Dan_Blackburn,non - malicious
gurufocus.com/news/116068/who-is-the-warren-buffett-of-canada-prem-watsa-of-fairfax-financial-ffh-or-paul-desmarais-of-power-corporation-of-canada-pow,non - malicious
http://www.bg-ricevimenti.it/index.php/location/osteria-del-molo.html?fontstyle=f-smaller,malicious
stewstew.com/,non - malicious
livingharvest.com/products/ice-cream-bars,non - malicious
http://icicibank.com/Personal-Banking/offers/offer-detail.page?id=offer-readers-digest-magazine-offer-20150202203953555,non - malicious
http://9779.info/%E5%84%BF%E7%AB%A5%E7%AB%8B%E4%BD%93%E7%BA%B8%E8%B4%B4%E7%94%BB/,malicious
bleacherreport.com/articles/300242-doug-harvey-one-of-the-best-ever-to-play-the-game,non - malicious
http://www.boeuf-soufflenheim.com/de.feed?type=rss,malicious
artfacts.net/it/istituzion/ms--muzeum-sztuki-lodz-2724/visione-generale.html,non - malicious
parsippanysoccerclub.org/,non - malicious
international.uiowa.edu/services/language/allnet/resources/languages/turkish.asp,non - malicious
btscene.eu/verified-search/torrent/franco+piersanti/,non - malicious
signature-editions.com/,non - malicious
en.wikipedia.org/wiki/Blessed_by_a_Broken_Heart,non - malicious
http://www.trenker-bestattungen.de/index.php?option=com_content&view=article&id=13&Itemid=14,malicious
national.ca/Bold-Thinking/NATIONAL-Publications.aspx,non - malicious
halkbankparaf-para.com,malicious
http://motthegioi.vn/the-gioi-cuoi/clip-dai-gia-mac-ca-voi-co-ban-banh-my-185682.html,non - malicious
metroactive.com/papers/metro/01.29.98/idiotflesh-9804.html,non - malicious
https://twitter.com/home?status=%E3%83%8C%E3%81%91%E3%82%8B%EF%BC%81%E3%80%90%E3%82%A2%E3%83%8B%E3%83%A1%E3%80%91+http%3A%2F%2Fero-video.net%2Ft%2FwjfL4fhPp1lPxTZb+%E3%82%A2%E3%83%AA%E3%82%B5%E5%86%8D%E3%81%B3%EF%BC%81%E3%82%A8%E3%83%AD%E3%82%A2%E3%83%8B%E3%83%A1+%23ero+%23douga+%23agesage,non - malicious
http://correios.com.br/para-sua-empresa/comunicacao/certificados-digitais/ajuda-interativa/informacoes-sobre-a-baixa-dos-certificados-a1,non - malicious
http://olx.ro/i2/electronice-si-electrocasnice/electrocasnice/masini-de-cusut/gtm.start,non - malicious
http://www.aba-diagnostic.com/espace-prive/reset.html,malicious
msn.foxsports.com/nhl/player/yann-sauve/720461,non - malicious
hallmark.businessgreetings.com/,non - malicious
musicstack.com/records-cds/toni+tony+tone,non - malicious
nudecelebsnow.com/tags/1/victoria+justus.htm,non - malicious
http://www.paoarapanui.cl/index.php?option=com_contact&view=contact&id=1&Itemid=6,malicious
worldwrestlinginsanity.com/am2/publish/ringofhonorlive/roh_sinclair_tv2.shtml,non - malicious
http://www.designeremdoces.com/components/com_contact/ggdrives/,malicious
http://slashdot.org/submission/2916707/facebook-to-include-profile-photos-in-its-facial-recognition-database,non - malicious
facebook.com/people/Yui-Takeshita/100001611015714,non - malicious
sportsposterwarehouse.com/items_388__grandprixclassicscoll.html,non - malicious
padmapper.com/search/apartments/Quebec/Montreal-est/,non - malicious
mrskin.com/christina-ricci-nude-c868.html,non - malicious
